query,response
What is the name of the property described in the document?,Cozy Downtown Apartment.
Where is the property located?,"123 Main St, Cityville."
What is the check-in time for guests?,3:00 PM.
What is the check-out time for guests?,11:00 AM.
How many queen beds are in each bedroom?,Each bedroom has 2 queen beds.
What type of flooring does the loft have?,Beautiful original hardwood floors.
What are some of the amenities provided in the bathroom?,"Hair dryer, shampoo, conditioner, body soap, hot water, shower gel."
What type of kitchen appliances are available in the loft?,"Oven/stove, dishwasher, refrigerator, stainless steel sink, toaster, Keurig coffee maker, French Press, Pour Over coffee maker."
Is there a washer and dryer available in the unit?,"Yes, a free washer and dryer are available in the unit."
What coffee-making options are provided in the kitchen?,"Keurig coffee maker, French Press, Pour Over."
How can guests access the property?,Guests can access the property using a Smart Lock with a personal entry code.
What is the policy on parties and gatherings?,Parties and gatherings are not allowed unless approved by the host.
Are there any restrictions on noise levels?,Quiet hours are from 10:00 PM to 7:00 AM.
"Are pets allowed in the unit? If so, what are the conditions?","Pets are allowed with a fee of $60 per pet. They must be on a leash outside, potty trained, and kept in a kennel when unattended."
How much is the pet fee per pet?,$60 per pet.
What kind of security features does the property have?,Noise decibel monitors and exterior security cameras at the entryway and lobby.
"Are there any cameras on the property? If so, where are they located?","Yes, cameras are located at the front entryway outside and in the lobby."
What happens if a guest smokes inside the unit?,"A fine of $2,000 is imposed if a guest smokes inside the unit."
What is the maximum number of guests allowed in the loft?,A maximum of 4 guests are allowed.
What are the quiet hours for the property?,10:00 PM - 7:00 AM.
What is the method used for unlocking the property?,Smart Lock with a personal entry code.
Are there any specific rules about the use of furniture?,Guests should not rearrange the furniture.
What attractions are located near the property?,"Railroad Park, Rotary Trail, Regions Field, Legacy Arena, UAB Hospital, Protective Stadium."
How far is Railroad Park from the property?,0.5 miles.
What is the distance to the Legacy Arena at the BJCC?,1 mile.
What entertainment options are provided inside the loft?,"70-inch HDTV with Amazon Prime Video, Fire TV, Hulu, Netflix, Roku, books and reading material."
Does the unit provide an Ethernet connection?,Yes.
What streaming services are available on the Smart TVs?,"Amazon Prime Video, Fire TV, Hulu, Netflix, Roku."
What size is the HDTV provided in the unit?,70 inches.
Is WiFi available in the unit?,"Yes, WiFi is available."
What are the parking options for guests?,"Free parking on premises, free on-street parking, paid street parking off-premises."
Is street parking available near the property?,"Yes, free street parking is available."
What safety equipment is included in the unit?,"Smoke alarm, fire extinguisher."
Does the unit have a smoke alarm?,Yes.
Is there a carbon monoxide detector in the property?,"No, the property does not have a carbon monoxide detector."
Are long-term stays allowed?,"Yes, stays of 28 days or more are allowed."
What types of cooking utensils are provided in the kitchen?,"Pots and pans, oil, salt and pepper, dishes and cutlery, bowls, chopsticks, plates, cups, etc."
Is there a dedicated workspace available in the unit?,"Yes, in a common space."
What is the name of the WiFi network?,CozyAptWifi.
What is the password for the WiFi network?,Cozy2024!
What dining options are provided in the unit?,"Dining table, wine glasses, coffee bar."
What is the nearest grocery store to the property?,Publix Grocery (0.2 miles).
Is there a security deposit required for guests?,Not mentioned.
What is the policy for guests who forget their toiletries?,"Mini shampoo, conditioner, body wash, and lotion are provided."
Are there any baby-proofing measures in place?,"No, the home is not baby-proofed."
What are the rules regarding visitors in the unit?,No visitors allowed. Only registered guests can occupy the unit.
Is there an age restriction for guests staying at the loft?,No specific restriction mentioned.
What is the penalty for violating the no-party policy?,Immediate eviction without refund.
Is there a minimum stay requirement for bookings?,Not specified.
What is the cancellation policy for this property?,Not specified.
What type of heating and cooling system is in place?,"Central air conditioning, ceiling fan, central heating."
How is the building designed to provide an upscale experience?,"Elegantly designed with high ceilings, exposed brick, and hardwood floors."
What materials were used in the loft renovation?,"Hardwood floors, exposed brick."
Are there any additional cleaning fees for the unit?,Not specified.
What local transportation options are available nearby?,"Electric scooters, ride-sharing services."
Are there any noise monitoring systems in place?,"Yes, noise decibel monitors."
What type of security monitoring is present in the building?,Exterior security cameras and noise decibel monitors.
What is the host's contact information?,John Doe - +1 (555) 123-4567.
What is the emergency contact number for local services?,911.
What are some nearby restaurant recommendations?,"The Gourmet Bistro (0.5 miles), Joe's Pizza (0.3 miles)."
